[00 byte]	 E4	 0.350961	 1.126101
[01 byte]	 F4	 0.362821	 1.121219
[02 byte]	 B0	 0.365285	 1.162841
[03 byte]	 BE	 0.360000	 1.082460
[04 byte]	 12	 0.312265	 1.001052
[05 byte]	 1D	 0.326374	 1.016702
[06 byte]	 07	 0.336824	 1.086700
[07 byte]	 83	 0.306150	 1.013694
[08 byte]	 08	 0.319860	 1.088265
[09 byte]	 8D	 0.337977	 1.018685
[10 byte]	 F3	 0.345558	 1.023161
[11 byte]	 CD	 0.296950	 1.007599
[12 byte]	 FA	 0.343768	 1.010330
[13 byte]	 14	 0.342860	 1.091963
[14 byte]	 B8	 0.360063	 1.207023
[15 byte]	 CE	 0.401798	 1.196116
