정렬된 배열:
값: 0.264806, 원래 인덱스: 228
값: 0.265043, 원래 인덱스: 110
값: 0.266369, 원래 인덱스: 95
값: 0.268547, 원래 인덱스: 113
값: 0.269505, 원래 인덱스: 117
값: 0.269724, 원래 인덱스: 209
값: 0.269956, 원래 인덱스: 210
값: 0.270141, 원래 인덱스: 73
값: 0.272702, 원래 인덱스: 123
값: 0.272950, 원래 인덱스: 23
값: 0.273893, 원래 인덱스: 49
값: 0.274007, 원래 인덱스: 63
값: 0.275570, 원래 인덱스: 25
값: 0.275738, 원래 인덱스: 213
값: 0.276147, 원래 인덱스: 86
값: 0.276983, 원래 인덱스: 218
값: 0.278334, 원래 인덱스: 130
값: 0.280948, 원래 인덱스: 8
값: 0.281584, 원래 인덱스: 34
값: 0.284356, 원래 인덱스: 207
값: 0.284796, 원래 인덱스: 149
값: 0.284950, 원래 인덱스: 190
값: 0.285168, 원래 인덱스: 10
값: 0.286221, 원래 인덱스: 99
값: 0.286450, 원래 인덱스: 32
값: 0.288714, 원래 인덱스: 20
값: 0.288715, 원래 인덱스: 248
값: 0.290579, 원래 인덱스: 172
값: 0.291982, 원래 인덱스: 237
값: 0.292638, 원래 인덱스: 238
값: 0.292717, 원래 인덱스: 142
값: 0.293077, 원래 인덱스: 225
값: 0.293649, 원래 인덱스: 182
값: 0.294845, 원래 인덱스: 15
값: 0.294882, 원래 인덱스: 122
값: 0.301330, 원래 인덱스: 7
값: 0.301587, 원래 인덱스: 16
값: 0.302000, 원래 인덱스: 77
값: 0.302431, 원래 인덱스: 68
값: 0.303606, 원래 인덱스: 38
값: 0.305479, 원래 인덱스: 114
값: 0.306000, 원래 인덱스: 250
값: 0.306431, 원래 인덱스: 162
값: 0.306571, 원래 인덱스: 54
값: 0.307043, 원래 인덱스: 193
값: 0.308340, 원래 인덱스: 244
값: 0.311699, 원래 인덱스: 254
값: 0.311756, 원래 인덱스: 108
값: 0.312228, 원래 인덱스: 165
값: 0.312283, 원래 인덱스: 231
값: 0.313081, 원래 인덱스: 13
값: 0.315335, 원래 인덱스: 136
값: 0.315478, 원래 인덱스: 166
값: 0.316746, 원래 인덱스: 129
값: 0.317957, 원래 인덱스: 242
값: 0.322694, 원래 인덱스: 30
값: 0.323077, 원래 인덱스: 26
값: 0.323900, 원래 인덱스: 70
값: 0.326141, 원래 인덱스: 56
값: 0.327823, 원래 인덱스: 195
값: 0.328826, 원래 인덱스: 224
값: 0.330141, 원래 인덱스: 81
값: 0.333208, 원래 인덱스: 93
값: 0.338336, 원래 인덱스: 79
값: 0.339704, 원래 인덱스: 69
값: 0.340241, 원래 인덱스: 191
값: 0.344390, 원래 인덱스: 245
값: 0.352601, 원래 인덱스: 246
값: 0.354433, 원래 인덱스: 201
값: 0.355940, 원래 인덱스: 239
값: 0.358433, 원래 인덱스: 1
값: 0.360079, 원래 인덱스: 80
값: 0.362621, 원래 인덱스: 168
값: 0.369790, 원래 인덱스: 156
값: 0.371380, 원래 인덱스: 3
값: 0.376055, 원래 인덱스: 85
값: 0.380630, 원래 인덱스: 205
값: 0.381338, 원래 인덱스: 75
값: 0.381726, 원래 인덱스: 58
값: 0.383726, 원래 인덱스: 5
값: 0.386110, 원래 인덱스: 216
값: 0.393593, 원래 인덱스: 12
값: 0.395732, 원래 인덱스: 178
값: 0.398943, 원래 인덱스: 67
값: 0.402446, 원래 인덱스: 120
값: 0.405240, 원래 인덱스: 169
값: 0.409100, 원래 인덱스: 234
값: 0.411859, 원래 인덱스: 65
값: 0.416827, 원래 인덱스: 61
값: 0.425791, 원래 인덱스: 42
값: 0.454461, 원래 인덱스: 188
값: 0.456967, 원래 인덱스: 173
값: 0.460712, 원래 인덱스: 186
값: 0.480813, 원래 인덱스: 52
값: 0.481308, 원래 인덱스: 211
값: 0.481484, 원래 인덱스: 71
값: 0.883433, 원래 인덱스: 60
